№,Point_type,Category,Name_mon,Name_eng,Aimag_name_mon,Aimag_name_eng,Sum_name_mon,Sum_name_eng,Lat,Long,Description_mon,Description_eng,Photo_URL,Name_kr,Name_jp,Name_cn,Name_ru,Description_kor,Description_jpn,Description_zho,Description_rus
1,2,Түүхийн дурсгалт газар,Алтан сандал уулын дурсгал,Altan Sandal Grave,Архангай,Arkhangai,Ихтамир,Ikhtamir,47.5403,101.03996,"Ихтамир сумын төвөөс баруун урд зүгт 15 км-т орших Алтан сандал уулаас баруун хойш нэг км зайд жижиг товгор дээр дугуй далантай дугуй хүрээтэй хиргисүүр нэг, дугуй далантай дөрвөлжин хиргисүүр хоёр, жижиш дөрвөлжин булш найм бий. ","Located 15 km southwest of the center of Ikhtamir soum, one km northwest of Altan Sandal Mountain, on a small hillock, there is one circular-framed khirgisur with a circular dam, two square khirgisur with a circular dam, and eight small square tombs.",https://www.dropbox.com/scl/fi/1ew3fdzxtli0dn5i9kbtl/.jpg?rlkey=k3ceu5w6tto7pm4dwsgq8rpya&raw=1,골든 체어 마운틴 기념비,ゴールデンチェアマウンテン国定公園,金椅山纪念碑,Памятник на горе Золотого Кресла,"이흐타미르 솜 중심에서 남서쪽으로 15km, 알탄 산달산에서 북서쪽으로 1km 떨어진 작은 언덕에 원형 댐이 있는 원형 프레임 키르기수르 1개, 원형 댐이 있는 정사각형 키르기수르 2개, 작은 정사각형 무덤 8개가 있습니다.",イクタミール・スムの中心から南西15km、アルタン・サンダル山の北西1kmの小さな丘の上に位置し、円形のダムを備えた円形枠のキルギスールが1つ、円形のダムを備えた正方形のキルギスールが2つ、そして8つの小さな正方形の墓がある。,位于伊赫塔米尔苏姆中心西南15公里处，阿尔坦桑达尔山西北1公里处，一座小山丘上，有一座圆形框架的带圆形坝的吉尔吉苏尔、两座方形的带有圆形坝的吉尔吉苏尔和八座方形小墓。,"В 15 км к юго-западу от центра сомона Ихтамир, в 1 км к северо-западу от горы Алтан Сандал, на небольшом холме расположены один хиргисур круглой формы с круглой плотиной, два квадратных хиргисура с круглой плотиной и восемь небольших квадратных гробниц."
2,3,Шашны дурсгалт газар,Суварга,Stupa,Архангай,Arkhangai,Хашаат,Khashaat,47.32967,103.60615,хашаат сумын төвөөс зүүн өмнө зүгт 38 км зайтай оршино.,It is located 38 km southeast of the center of Khashaat soum.,https://www.dropbox.com/scl/fi/9bm4lw1oq80gcp6ao6oz8/.jpg?rlkey=f2t41plkc8qzerex7cibgnucd&raw=1,탑,仏塔,佛塔,Ступа,Khashaat soum 중심에서 남동쪽으로 38km 떨어져 있습니다.,カシャート・ソムの中心部から南東に 38 km に位置します。,它位于 Khashaat soum 中心东南 38 公里处。,Расположен в 38 км к юго-востоку от центра сума Хашаат.
3,2,Түүхийн дурсгалт газар,Билгэ хааны цогцолбор,Bilge Khan Complex,Архангай,Arkhangai,Хашаат,Khashaat,47.55745,102.8369,"Хашаат сумын Цайдам бригадын нутагт Өгий нуураас баруун урагш 36 км, Хархориноос хойш 47 км зайд Хөгшин Орхон голын зүүн эрэг, Цайдам нуурын баруун өмнө оршдог. ","It is located in the Tsaydam brigade area of ​​Khashaat soum, 36 km southwest of Ugii Lake and 47 km north of Kharkhorin, on the east bank of the Old Orkhon River and southwest of Tsaydam Lake.",https://www.dropbox.com/scl/fi/27whel5nxxsg09yet5vkk/.jpg?rlkey=4exqjq7g5zjuwlouxdijdcui8&dжйц=1,빌게칸 단지,ビルジ カーン コンプレックス,比尔格汗复合体,Комплекс Бильге Хан,"그것은 Ugii 호수에서 남서쪽으로 36km, Kharkhorin에서 북쪽으로 47km 떨어진 Khashaat soum의 Tsaydam 여단 지역에 위치하고 있으며 Old Orkhon 강 동쪽 기슭과 Tsaydam 호수 남서쪽에 있습니다.",それは、ウギー湖の南西36km、ハルホリンの北47km、旧オルホン川の東岸、ツァイダム湖の南西にあるカシャート・ソムのツァイダム旅団地域に位置する。,位于哈沙特苏姆察达姆旅区，乌吉湖西南36公里，哈尔和林以北47公里，老鄂尔浑河东岸，察达姆湖西南。,"Расположен в районе Цайдамской бригады сомона Хашаат, в 36 км юго-западнее озера Угий и в 47 км севернее Хархорина, на восточном берегу реки Старый Орхон и юго-западнее озера Цайдам."
4,1,Байгалийн үзэсгэлэнт газар,Булган уул (2143м),Bulgan Mountain (2143m),Архангай,Arkhangai,Эрдэнэбулган,Erdenebulgan,47.50541,101.46154,"Байгалийн үзэсгэлэнт байдал, түүхийн дурсгалт зүйлсийг нь хамгаалах зорилгоор 1965 онд улсын тусгай хамгаалалтад авсан. ",It was placed under special state protection in 1965 to protect its natural beauty and historical monuments.,https://www.dropbox.com/scl/fi/7twrxr8khoao3xh3yx1m6/.jpg?rlkey=1dajk3fc9s0jfosjalxx52l1z&raw=1,불간산,仏岩山,布尔干山,Гора Булган,자연의 아름다움과 역사적 기념물을 보호하기 위해 1965년에 국가의 특별 보호를 받았습니다.,自然の美しさと歴史的建造物を保護するために、1965 年に特別な国の保護下に置かれました。,1965年，为了保护其自然美景和历史古迹，它被置于国家特殊保护之下。,В 1965 году он был помещен под особую государственную охрану для защиты его природной красоты и исторических памятников.
5,2,Түүхийн дурсгалт газар,Вандан аваргын хөшөө,Vandan Avarga Statue,Архангай,Arkhangai,Батцэнгэл,Battsengel,47.78078,101.9687,"1994 онд бүтээж ,2014 онд сумын 90 жилийн ойн хүрээнд Вандан аваргын нэрэмжит хүндэтгэлийн талбайг байгуулж хөшөөг тэнд шилжүүлэн байршуулжээ.","It was built in 1994, and in 2014, as part of the soum's 90th anniversary, a memorial square was established in the name of Vandan Avarga and the statue was relocated there.",https://www.dropbox.com/scl/fi/78cdx7iv8ubc716x25ogu/.jpg?rlkey=qsvrxvppbmmo9bcsv56o8till&raw=1,반단 아바르가 동상,ヴァンダン アヴァルガ像,凡丹·阿瓦尔加雕像,Статуя Вандана Аварги,"1994년 건립되었으며, 2014년 솜 창립 90주년을 맞아 반단 아바르가(Vandan Avarga)라는 이름의 기념광장을 건립하고 동상을 이곳으로 이전했습니다.",1994 年に建設され、2014 年にはスーム建国 90 周年の一環としてヴァンダン アヴァルガの名を冠した記念広場が設立され、像はそこに移設されました。,它建于 1994 年，2014 年，作为苏姆成立 90 周年的一部分，以 Vandan Avarga 的名义建立了一个纪念广场，并将雕像迁至那里。,"Он был построен в 1994 году, а в 2014 году в рамках 90-летия сума был установлен мемориальный сквер имени Вандана Аварги и перенесена туда статуя."
6,2,Түүхийн дурсгалт газар,Дельфинтэй хөшөө,Statue with a dolphin,Архангай,Arkhangai,Тариат,Tariat,48.1826,99.78723,Тариат сутын төвөөс баруун хойд зүгт 11 км зайтай оршино.,It is located 11 km northwest of the city center.,https://www.dropbox.com/scl/fi/lupxh5siskbw5yr36smnr/.jpg?rlkey=ew69v016qfb9cw1kdn7lyl0wj&raw=1,돌고래가 있는 조각상,イルカの像,与海豚的雕像,Статуя с дельфином,시내 중심에서 북서쪽으로 11km 떨어져 있다.,市内中心部から北西に 11 km に位置します。,位于市中心西北11公里处。,Он расположен в 11 км к северо-западу от центра города.
7,1,Байгалийн үзэсгэлэнт газар,Дуут нуур Архангай,Duut Lake (Arkhangai),Архангай,Arkhangai,Хайрхан,Khairkhan,48.52532,101.90015,Хайрхан сумын төвөөс урд зүгт 9.5 км зайтай оршино.,It is located 9.5 km south of the center of Khairkhan soum.,https://www.dropbox.com/scl/fi/uqcl33451d8j7lwn5m4cq/Duu-lake.jpeg?rlkey=qava7rbonn2ejikcrkacmb2tu&raw=1,두트 호수,ダウト湖,杜特湖,Озеро Дуут,Khairkhan soum 중심에서 남쪽으로 9.5km 떨어져 있습니다.,カイルカーン ソムの中心部から南に 9.5 km に位置します。,它位于Khairkhan soum中心以南9.5公里处。,"Он расположен в 9,5 км к югу от центра Хайрхан-сума."
8,2,Түүхийн дурсгалт газар,Культегиний хөшөө,Kultegin Statue,Архангай,Arkhangai,Хашаат,Khashaat,47.56406,102.83144," Анх мэлхий чулуун дээр тамга бүхий нүүрэн талыг наран ургах зүг харуулан босгосон байжээ. Культегин гэдэг нь Түрэг улсын жанжин бөгөөд 684 онд төржээ. 16 настайгаасаа төрийн хэрэгт зүтгэж эхэлсэн ба ухаалаг, авъяаслаг жанжин байсан. Тэрээр 731 онд 47 настай таалал төгсөхөд тахилын онгон цогцолбор, шүтээний сүмийг түүний ах Билгэ хаан 732 онд дүүгийнхээ дурсгалд зориулан босгож ач хүү Йолуг тегин 20 хоног ухаж сийлжээ.","The first stone was erected with the stamped side facing the rising sun. Kultegin was a Turkic general born in 684. He began his career in state affairs at the age of 16 and was a wise and talented general. When he died in 731 at the age of 47, the sacrificial complex and the temple were built in 732 by his brother Bilge Khan in memory of his brother, and his grandson Yolug Tegin spent 20 days digging and carving it.",https://www.dropbox.com/scl/fi/uatduddzrrt7r5le86453/.JPG?rlkey=5skswjzder3fwtv2zfd07iv61&raw=1,쿨테긴 동상,クルテギン像,库尔特金雕像,Статуя Культегина,"첫 번째 돌은 찍힌 면이 떠오르는 태양을 향하도록 세워졌습니다. 쿨테긴은 684년에 태어난 투르크족 장군이었습니다. 그는 16세에 국정 경력을 시작했으며 현명하고 재능 있는 장군이었습니다. 731년 47세의 나이로 세상을 떠났을 때, 그의 형인 빌게 칸(Bilge Khan)이 형을 기리기 위해 732년에 제사 단지와 사원을 세웠고, 그의 손자 욜루크 테긴(Yolug Tegin)이 20일 동안 그것을 파고 조각했습니다.",最初の石は刻印された面を朝日に向けて建てられました。クルテギンは 684 年生まれのテュルク系将軍でした。彼は 16 歳で国政のキャリアをスタートし、賢明で才能のある将軍でした。彼が 731 年に 47 歳で亡くなると、732 年に弟のビルゲ・カーンが兄の追悼として犠牲施設と寺院を建設し、孫のヨルグ・テギンが 20 日間をかけて掘削と彫刻を行いました。,第一块石头被竖立起来，有印记的一面面向初升的太阳。库尔特金是突厥将军，出生于684年，16岁就开始从政，是一位睿智而有才华的将军。 731年他去世时，享年47岁。该祭祀建筑群和寺庙是他的兄弟比尔格汗于732年为纪念他的兄弟而建造的，他的孙子育洛特勤花了20天的时间挖掘和雕刻。,"Первый камень был установлен штампованной стороной к восходящему солнцу. Культегин был тюркским полководцем, родившимся в 684 году. Свою карьеру в государственных делах он начал в 16 лет и был мудрым и талантливым полководцем. Когда он умер в 731 году в возрасте 47 лет, жертвенный комплекс и храм были построены в 732 году его братом Бильге-ханом в память о брате, а его внук Ёлуг Тегин провел 20 дней, копая и вырезая его."
9,2,Түүхийн дурсгалт газар,Луут хотын туурь,Luut City Ruin,Архангай,Arkhangai,Өлзийт,Ulziit,48.02554,102.50808,Луут хот буюу Лүн Чан -Монголын анхны төрт улс Хүннү гүрний нийслэл хот. Луут хот нь тухайн цаг үедээ хаад язгууртны тансаг зэрэглэлийн зуны нийслэл байжээ. Өлзийт сумын төвөөс баруун урд зүгт 9 км зайтай оршино.,"Luut city or Lun Chan - the capital of the first Mongol state, the Hunnic Empire. Luut city was a luxurious summer capital of the kings and nobles at that time. It is located 9 km southwest of the center of Ulziit soum.",https://www.dropbox.com/scl/fi/a7dwszom8l2soz90k1ynh/.jpeg?rlkey=lz6brwdhp299mj8x78ohfmjc9&raw=1,루트시티 유적,ルウトシティ遺跡,卢特城遗址,Руины города Луут,Luut 도시 또는 Lun Chan - 최초의 몽골 국가인 Hunnic Empire의 수도입니다. 루트시는 당시 왕과 귀족들의 호화로운 여름 수도였습니다. Ulziit soum 중심에서 남서쪽으로 9km 떨어져 있습니다.,ルウト市、またはルンチャン - 最初のモンゴル国家、フン族帝国の首都。ルウト市は当時の王や貴族の豪華な夏の首都でした。ウルジート・スームの中心部から南西に9kmに位置しています。,鲁特市或伦赞 - 第一个蒙古国家匈奴帝国的首都。卢特城是当时国王和贵族奢华的避暑都城。它位于Ulziit soum中心西南9公里处。,"Город Луут или Лунь Чан — столица первого монгольского государства, империи гуннов. Город Луут в то время был роскошной летней столицей королей и знати. Расположен в 9 км к юго-западу от центра сума Улзийт."
10,3,Шашны дурсгалт газар,Алтан зуу хийд,Altan Zuu Monastery,Архангай,Arkhangai,Өлзийт,Ulziit,48.09831,102.55636,Өлзийн сумын төвд оршино.,It is located in the center of Ulziin soum.,https://www.dropbox.com/scl/fi/dquslv6bzkn6c8jukr0kl/.jpg?rlkey=1zzxerwm691i8k5tsseqv4dag&raw=1,알탄 주 수도원,アルタン・ズー修道院,阿尔坦祖修道院,Монастырь Алтан Зуу,울진솜의 중심에 위치하고 있습니다.,ウルジン・スームの中心部に位置しています。,它位于Ulziin soum 的中心。,Он расположен в центре сума Ульзийн.
