№,Point_type,Category,Name_mon,Name_eng,Aimag_name_mon,Aimag_name_eng,Sum_name_mon,Sum_name_eng,Lat,Long,Description_mon,Description_eng,Photo_URL,Name_kr,Name_jp,Name_cn,Name_ru
1,2,Түүхийн дурсгалт газар,Алтан сандал уулын дурсгал,Altan Sandal Grave,Архангай,Arkhangai,Ихтамир,Ikhtamir,47.5403,101.03996,"Ихтамир сумын төвөөс баруун урд зүгт 15 км-т орших Алтан сандал уулаас баруун хойш нэг км зайд жижиг товгор дээр дугуй далантай дугуй хүрээтэй хиргисүүр нэг, дугуй далантай дөрвөлжин хиргисүүр хоёр, жижиш дөрвөлжин булш найм бий. ","Located 15 km southwest of the center of Ikhtamir soum, one km northwest of Altan Sandal Mountain, on a small hillock, there is one circular-framed khirgisur with a circular dam, two square khirgisur with a circular dam, and eight small square tombs.",https://www.dropbox.com/scl/fi/1ew3fdzxtli0dn5i9kbtl/.jpg?rlkey=k3ceu5w6tto7pm4dwsgq8rpya&raw=1,골든 체어 마운틴 기념비,ゴールデンチェアマウンテン国定公園,金椅山纪念碑,Памятник на горе Золотого Кресла
2,3,Шашны дурсгалт газар,Суварга,Stupa,Архангай,Arkhangai,Хашаат,Khashaat,47.32967,103.60615,хашаат сумын төвөөс зүүн өмнө зүгт 38 км зайтай оршино.,It is located 38 km southeast of the center of Khashaat soum.,https://www.dropbox.com/scl/fi/9bm4lw1oq80gcp6ao6oz8/.jpg?rlkey=f2t41plkc8qzerex7cibgnucd&raw=1,탑,仏塔,佛塔,Ступа
3,2,Түүхийн дурсгалт газар,Билгэ хааны цогцолбор,Bilge Khan Complex,Архангай,Arkhangai,Хашаат,Khashaat,47.55745,102.8369,"Хашаат сумын Цайдам бригадын нутагт Өгий нуураас баруун урагш 36 км, Хархориноос хойш 47 км зайд Хөгшин Орхон голын зүүн эрэг, Цайдам нуурын баруун өмнө оршдог. ","It is located in the Tsaydam brigade area of ​​Khashaat soum, 36 km southwest of Ugii Lake and 47 km north of Kharkhorin, on the east bank of the Old Orkhon River and southwest of Tsaydam Lake.",https://www.dropbox.com/scl/fi/27whel5nxxsg09yet5vkk/.jpg?rlkey=4exqjq7g5zjuwlouxdijdcui8&dжйц=1,빌게칸 단지,ビルジ カーン コンプレックス,比尔格汗复合体,Комплекс Бильге Хан
4,1,Байгалийн үзэсгэлэнт газар,Булган уул (2143м),Bulgan Mountain (2143m),Архангай,Arkhangai,Эрдэнэбулган,Erdenebulgan,47.50541,101.46154,"Байгалийн үзэсгэлэнт байдал, түүхийн дурсгалт зүйлсийг нь хамгаалах зорилгоор 1965 онд улсын тусгай хамгаалалтад авсан. ",It was placed under special state protection in 1965 to protect its natural beauty and historical monuments.,https://www.dropbox.com/scl/fi/7twrxr8khoao3xh3yx1m6/.jpg?rlkey=1dajk3fc9s0jfosjalxx52l1z&raw=1,불간산,仏岩山,布尔干山,Гора Булган
5,2,Түүхийн дурсгалт газар,Вандан аваргын хөшөө,Vandan Avarga Statue,Архангай,Arkhangai,Батцэнгэл,Battsengel,47.78078,101.9687,"1994 онд бүтээж ,2014 онд сумын 90 жилийн ойн хүрээнд Вандан аваргын нэрэмжит хүндэтгэлийн талбайг байгуулж хөшөөг тэнд шилжүүлэн байршуулжээ.","It was built in 1994, and in 2014, as part of the soum's 90th anniversary, a memorial square was established in the name of Vandan Avarga and the statue was relocated there.",https://www.dropbox.com/scl/fi/78cdx7iv8ubc716x25ogu/.jpg?rlkey=qsvrxvppbmmo9bcsv56o8till&raw=1,반단 아바르가 동상,ヴァンダン アヴァルガ像,凡丹·阿瓦尔加雕像,Статуя Вандана Аварги
6,2,Түүхийн дурсгалт газар,Дельфинтэй хөшөө,Statue with a dolphin,Архангай,Arkhangai,Тариат,Tariat,48.1826,99.78723,Тариат сутын төвөөс баруун хойд зүгт 11 км зайтай оршино.,It is located 11 km northwest of the city center.,https://www.dropbox.com/scl/fi/lupxh5siskbw5yr36smnr/.jpg?rlkey=ew69v016qfb9cw1kdn7lyl0wj&raw=1,돌고래가 있는 조각상,イルカの像,与海豚的雕像,Статуя с дельфином
7,1,Байгалийн үзэсгэлэнт газар,Дуут нуур Архангай,Duut Lake (Arkhangai),Архангай,Arkhangai,Хайрхан,Khairkhan,48.52532,101.90015,Хайрхан сумын төвөөс урд зүгт 9.5 км зайтай оршино.,It is located 9.5 km south of the center of Khairkhan soum.,https://www.dropbox.com/scl/fi/uqcl33451d8j7lwn5m4cq/Duu-lake.jpeg?rlkey=qava7rbonn2ejikcrkacmb2tu&raw=1,두트 호수,ダウト湖,杜特湖,Озеро Дуут
8,2,Түүхийн дурсгалт газар,Культегиний хөшөө,Kultegin Statue,Архангай,Arkhangai,Хашаат,Khashaat,47.56406,102.83144," Анх мэлхий чулуун дээр тамга бүхий нүүрэн талыг наран ургах зүг харуулан босгосон байжээ. Культегин гэдэг нь Түрэг улсын жанжин бөгөөд 684 онд төржээ. 16 настайгаасаа төрийн хэрэгт зүтгэж эхэлсэн ба ухаалаг, авъяаслаг жанжин байсан. Тэрээр 731 онд 47 настай таалал төгсөхөд тахилын онгон цогцолбор, шүтээний сүмийг түүний ах Билгэ хаан 732 онд дүүгийнхээ дурсгалд зориулан босгож ач хүү Йолуг тегин 20 хоног ухаж сийлжээ.","The first stone was erected with the stamped side facing the rising sun. Kultegin was a Turkic general born in 684. He began his career in state affairs at the age of 16 and was a wise and talented general. When he died in 731 at the age of 47, the sacrificial complex and the temple were built in 732 by his brother Bilge Khan in memory of his brother, and his grandson Yolug Tegin spent 20 days digging and carving it.",https://www.dropbox.com/scl/fi/uatduddzrrt7r5le86453/.JPG?rlkey=5skswjzder3fwtv2zfd07iv61&raw=1,쿨테긴 동상,クルテギン像,库尔特金雕像,Статуя Культегина
9,2,Түүхийн дурсгалт газар,Луут хотын туурь,Luut City Ruin,Архангай,Arkhangai,Өлзийт,Ulziit,48.02554,102.50808,Луут хот буюу Лүн Чан -Монголын анхны төрт улс Хүннү гүрний нийслэл хот. Луут хот нь тухайн цаг үедээ хаад язгууртны тансаг зэрэглэлийн зуны нийслэл байжээ. Өлзийт сумын төвөөс баруун урд зүгт 9 км зайтай оршино.,"Luut city or Lun Chan - the capital of the first Mongol state, the Hunnic Empire. Luut city was a luxurious summer capital of the kings and nobles at that time. It is located 9 km southwest of the center of Ulziit soum.",https://www.dropbox.com/scl/fi/a7dwszom8l2soz90k1ynh/.jpeg?rlkey=lz6brwdhp299mj8x78ohfmjc9&raw=1,루트시티 유적,ルウトシティ遺跡,卢特城遗址,Руины города Луут
10,3,Шашны дурсгалт газар,Алтан зуу хийд,Altan Zuu Monastery,Архангай,Arkhangai,Өлзийт,Ulziit,48.09831,102.55636,Өлзийн сумын төвд оршино.,It is located in the center of Ulziin soum.,https://www.dropbox.com/scl/fi/dquslv6bzkn6c8jukr0kl/.jpg?rlkey=1zzxerwm691i8k5tsseqv4dag&raw=1,알탄 주 수도원,アルタン・ズー修道院,阿尔坦祖修道院,Монастырь Алтан Зуу
11,1,Байгалийн үзэсгэлэнт газар,Мөст агуй,Ice Cave,Архангай,Arkhangai,Тариат,Tariat,48.17204,99.82978,Тариат сутын төвөөс баруун хойд зүгт 5 км зайтай оршино.,It is located 5 km northwest of the center of Tariat.,https://www.dropbox.com/scl/fi/p3yzdle4txnqessxzmm08/.jpg?rlkey=0zn3bzd758dvpzcqmta2zh6je&raw=1,얼음 동굴,氷の洞窟,冰洞,Ледяная пещера
12,1,Байгалийн үзэсгэлэнт газар,Мэлхий хад,Frog Rock,Архангай,Arkhangai,Тариат,Tariat,48.18113,99.78851,Тариат сутын төвөөс баруун хойд зүгт 11 км зайтай оршино.,It is located 11 km northwest of the city center.,https://www.dropbox.com/scl/fi/2fysatbpfjcb9151a4r44/1.jpg?rlkey=yztpqhr3higepa1pes9olp3ki&raw=1,개구리바위,カエル岩,青蛙岩,Лягушачья скала
13,1,Байгалийн үзэсгэлэнт газар,Өгий нуур,Ugii Lake,Архангай,Arkhangai,Өгийнуур,Ogiinur,47.77405,102.783,"25 хавтгай дөрвөлжин километр талбайтай нуур. 7 километр урт, 5 километр өргөн. Хамгийн гүнзгий газартаа 15 метр орчим. Далайн төвшнөөс дээш 1337 метр өргөгдсөн. Өгийнуур сумын төвөөс зүүн хойд зүгт 24 км зайтай оршино.","Lake with an area of ​​25 square kilometers. 7 kilometers long, 5 kilometers wide. About 15 meters at its deepest point. Elevated 1337 meters above sea level. Located 24 km northeast of the center of Ugiinuur soum.",https://www.dropbox.com/scl/fi/6kyr7ad34a6ag2q8e499u/Ugiilake.jpg?rlkey=lp4khy3wthubsefu79crwclr5&raw=1,우기이 호수,ウギー湖,乌吉湖,Озеро Угий
14,1,Байгалийн үзэсгэлэнт газар,Суварга хайрхан уул (3179м),Suvarga Khairkhan Mountain,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.05601,101.36538,"Суварга хайрхан уул нь хормойгоороо ой модоор хучигдсан, нүцгэн оройтой, ноён оргилоосоо доош уулын энгэр талдаа тунгалаг нууртай, завилаад сууж буй хүн шиг сонин тогтоц бүхий уул юм. ","Suvarga Khairkhan Mountain is a mountain with a bare peak, covered with forests along its slopes, and a clear lake on the slopes below its peak, with a curious shape resembling a man sitting cross-legged.",https://www.dropbox.com/scl/fi/x4szah8x9x9yuq1jfkwee/.jpg?rlkey=d5luxwwj69fnqksr2pp972a4s&raw=1,수바르가 카이르칸 산,スヴァルガ・ハイルカン山,苏瓦尔加凯尔汗山,Гора Суварга Хайрхан
15,2,Түүхийн дурсгалт газар,Сайрын овоо,Sairyn Ovoo,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.43879,101.62623,Цэнхэр сумын төвөөс баруун зүгт 10 км зайтай оршино.,It is located 10 km west of the center of Tsenkher soum.,https://www.dropbox.com/scl/fi/owrh6lu8b2y25a11xx7ah/.jpg?rlkey=he6r7fg7ejk081jw4jsgqwk5w&raw=1,사이린 오부,サイリン・オヴォー,赛琳·奥沃,Сэйрин Овоо
16,2,Түүхийн дурсгалт газар,Шивээт улаан Архангай,Shiveet Ulaan Ruin,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.07073,102.07087,Цагаан сүмийн голын хойд эрэгт оршино.,It is located on the north bank of the White Mosque River.,,시비트 울란 유적,シヴィート・ウラーン遺跡,希维特乌兰遗址,Руины Шивеет-Улаан
17,1,Байгалийн үзэсгэлэнт газар,Тайхар чулуу,Taikhar Rock,Архангай,Arkhangai,Ихтамир,Ikhtamir,47.6005,101.25363," Хойд Тамир голын эрэгт байрлах Тайхар чулуу нь аймгийн төвөөс 20 км зайд оршдог, 16 метр өндөр эгц боржин чулуун цохио юм. Энэхүү гайхалтай чулууг бий болсон талаар олон домог бий.","Located on the banks of the Northern Tamir River, Taikhar Rock is a steep granite cliff 16 meters high, located 20 kilometers from the provincial center. There are many legends about the formation of this amazing rock.",https://www.dropbox.com/scl/fi/13w5rhok9mrec1q7xcw3x/TaikharRock.jpg?rlkey=kvu79r3r0hzbgxzncn54m2hgy&raw=1,타이카르 록,タイカール ロック,泰卡岩,Тайхар Рок
18,1,Байгалийн үзэсгэлэнт газар,Тамирын гол,Tamir River,Архангай,Arkhangai,Өгийнуур,"Ogiinur, Ikhtamir, Battsengel, Ugiinuur, Bulgan, Tsenkher",47.76034,102.51995,"Урд, Хойд Тамирын голууд нийлэн Тамирын гол нэртэйгээр зүүн зүгт  урсан Өгий нуурт цутгана.","The South and North Tamir rivers merge and flow into Lake Ogii, which flows eastward under the name Tamir.",https://www.dropbox.com/scl/fi/dcsqnd5pvyhfw19dwigc7/.jpg?rlkey=rq8cmolma4afprfenfwj05tul&raw=1,타미르 강,タミール川,塔米尔河,Река Тамир
19,1,Байгалийн үзэсгэлэнт газар,Тэрхийн цагаан нуур,Terkhiin Tsagaan Lake,Архангай,Arkhangai,Тариат,Tariat,48.16129,99.72011,"Хоргын тогооны дэргэд байрлах цэнгэг уст нуур. Хангайн нуруунаас эх авсан Хойд, Урд Тэрхийн голын урсгал Хорго галт уулын халуун хайлмал бодист боогдон үүсчээ.","A freshwater lake located near the Khorgo crater. The North and South Terkh rivers, originating in the Khangai Mountains, were formed by the hot molten material of the Khorgo volcano.",https://www.dropbox.com/scl/fi/scpuie9gev6fiuhujrpw5/Terkhiinlake.jpg?rlkey=0wh36erf7gnapyniq8f0t4lsx&raw=1,테르킨 차간 호수,テルヒン・ツァガーン湖,特尔欣察干湖,Озеро Терхийн Цагаан
20,1,Байгалийн үзэсгэлэнт газар,Хануй гол,Khanui River,Архангай,Arkhangai,Өндөр-Улаан,"Chuluut, Ikhtamir, Undur-Ulaan, Erdenemandal, Tsetserleg, Khairkhan",48.02396,101.03394,"Архангай аймгийн нутгаар Хангайн нуруунаас эх авч зүүн хойшоо 421 км урсаад Сэлэнгэ мөрөнд нийлдэг. Хануй, Хүнүй голын бэлчирээс доошлох тусам 20-30 метр гүн эгц хүрмэн хавцал дундуур урсана. ","It originates in the Khangai Range in Arkhangai Province and flows northeast for 421 km before joining the Selenge River. As it descends from the confluence of the Khanui and Khunui rivers, it flows through steep, 20-30 meter deep gorges.",https://www.dropbox.com/scl/fi/6b2lth1xkt8bzadvhqed6/.jpg?rlkey=p4of6u11n3d7h8y822g32zf93&raw=1,카누이 강,ハヌイ川,卡努伊河,Река Хануй
21,2,Түүхийн дурсгалт газар,Хар балгас,Khar Balgas Ruin ,Архангай,Arkhangai,Хотонт,Khotont,47.4313,102.65975,Төв Азийн нүүдэлч ард түмний дунд МЭ VIII-IХ зууны үед ээлжит төр улсаа байгуулан 100 орчим жил оршин тогтнож байсан Уйгурын хаант улсын нийслэл Орду балык буюу нутгийнхны нэршлээр Хар балгас гэдэг их хотын туурь  Хархориноос зүүн хойш 40 км-т Орхоны хөндийд байдаг.,"The ruins of the great city of Ordu Balyk, or Khar Balgas as the locals call it, the capital of the Uyghur Khanate, which was a nomadic people of Central Asia that established its own state in the 8th-9th centuries AD and existed for about 100 years, are located 40 km northeast of Kharkhorin in the Orkhon Valley.",https://www.dropbox.com/scl/fi/220zxyzkegu9sk9pg5tsd/.jpg?rlkey=t52wgv0bik45cyxoe8bx2bjb7&raw=1,카르 발가스 폐허,カール・バルガス遺跡,卡尔巴尔加斯遗址,Руины Хар Балгаса
22,1,Байгалийн үзэсгэлэнт газар,Цагаан сүмийн халуун рашаан,White Temple Hot Springs,Архангай,Arkhangai,Хотонт,Khotont,47.06708,102.09899,Хотонт сумын төвөөс баруун өмнө зүгт 46 км зайтай оршино.,It is located 46 km southwest of the center of Khotont soum.,https://www.dropbox.com/scl/fi/9brxd4gvocvjho3yn9ysk/.jpg?rlkey=m5xa4b6ry2st1m97nubdttxef&raw=1,화이트 템플 온천,ホワイトテンプル温泉,白庙温泉,Горячие источники Белая мечеть
23,1,Байгалийн үзэсгэлэнт газар,Хорго уул,Khorgo Mountain,Архангай,Arkhangai,Тариат,Tariat,48.18629,99.85693,Одоогоос 9 мянга орчим жилийн өмнө дэлбэрч байгаад унтарсан галт уул юм. Далайн түвшнээс дээш 2240 метрийн өндөр бөгөөд  Тариат сумын төөөс баруун хойд зүгт 4 км зайтай оршино.,"It is a dormant volcano that erupted about 9,000 years ago. It is 2,240 meters above sea level and is located 4 km northwest of Tariat soum.",https://www.dropbox.com/scl/fi/4085jwtnb3atpiitt3rm1/Khorgo.jpg?rlkey=kbvf7dujt7940bkzdct4ms6qs&raw=1,코르고 산,ホルゴ山,霍尔果山,Гора Хорго
24,1,Байгалийн үзэсгэлэнт газар,Хөдөө нуур(Архангай),Khuduu Lake(Arkhangai),Архангай,Arkhangai,Тариат,Tariat,48.16511,99.53246,Тэрхийн цагаан нуурын баруун талд 2.5 км зйтай далайн түвшнээс дээш 2061 метр өндөрт оршино   оршино.,"It is located on the west side of Lake Terkhin, 2.5 km long, at an altitude of 2061 meters above sea level.",https://www.dropbox.com/scl/fi/vgx9lrlbo6rndgv28av5a/2.jpg?rlkey=z44sm2wzj8clg2x3mr400a072&raw=1,쿠두 호수,クドゥ湖,库杜湖,Озеро Худуу
25,2,Түүхийн дурсгалт газар,Хөшөө цайдам музей,Khushuu Tsaidam Museum,Архангай,Arkhangai,Хашаат,Fence,47.56083,102.84082,"Монгол Улсын Засгийн газрын 2010 оны 32-р тоот тогтоолоор Монгол Улсын нутаг дэвсгэр дээр оршиж байсан Түрэгийн хаант улсын түүх, соёлтой холбогдол бүхий хосгүй үнэт эд өлгийн зүйл, олдворыг хадгалж хамгаалах, судлах, сурталчилах үүрэг бүхий Хөшөө Цайдам музей байгуулагдсан юм. Музей нь байнгын үзэсгэлэнгийн танхим, түр үзэсгэлэнгийн танхим болон гадна үзэсгэлэнгийн талбайтай.","The Hushöö Tsaydam Museum was established by the Mongolian Government Decree No. 32 of 2010, with the mission of preserving, studying, and promoting unique valuable artifacts and finds related to the history and culture of the Turkic Khanate that existed on the territory of Mongolia. The museum has a permanent exhibition hall, a temporary exhibition hall, and an outdoor exhibition area.",https://www.dropbox.com/scl/fi/h1xf9khhwfdl0395niskb/.jpg?rlkey=y09dn496ixyhkx0nvqcq36gfl&raw=1,쿠슈 차이담 박물관,クシュウ・サイダム博物館,胡舒·柴达姆博物馆,Музей Хушуу Цайдама
26,1,Байгалийн үзэсгэлэнт газар,Хунт нуур,Swan Lake,Архангай,Arkhangai,Тариат,Tariat,48.07585,99.51652,"Тэрхийн цагаан нуурын баруун өмнө зүгт 6.5 км  зайтай, далайн түшвнээс дээш 2060 метрийн өндөрт оршино.","It is located 6.5 km southwest of Lake Terkhin Tsagaan and at an altitude of 2,060 meters above sea level.",https://www.dropbox.com/scl/fi/77mwrxpat7z5uyb4ef93o/.jpg?rlkey=9cg8fzljx5w5ksz267jswwonq&raw=1,백조의 호수,白鳥の湖,天鹅湖,Лебединое озеро
27,1,Байгалийн үзэсгэлэнт газар,Даваа нуур,Davaa Lake,Архангай,Arkhangai,Цахир,Tsakhir,48.19057,98.76585,Далайн түвшнээс дээш 2465 метр өндөрт орших нуур.,The lake is located at an altitude of 2465 meters above sea level.,https://www.dropbox.com/scl/fi/u98gwva7c6axr2970180q/.jpg?rlkey=f478vlc5gkuy90qyo5s6fk1zi&raw=1,다바 호수,ダヴァ湖,ダヴァ湖,Озеро Даваа
28,3,Шашны дурсгалт газар,Цахирын 2 шүтээн,Tsakhir Two Monks Stupa,Архангай,Arkhangai,Цахир,Tsakhir,48.09223,98.73099,"Суварган дотор Тойн-Эрдэнэ Чүлтэмжамц буюу Өвгөн Гэсэр лам, түүний шавь Цорж-аграмба Санжжав нарын “занданшсан шарил” буй бөгөөд эдгээрийг ХОС ОРШИНОЛ хэмээн нэрлэжээ. ","Inside the stupa are the “buried remains” of Toin-Erdene Chultemjamts, or Old Geser Lama, and his disciple Tsorj-agramba Sanjjav, which are called DOUBLE RESIDENCES.",https://www.dropbox.com/scl/fi/mminvcqzh63nzubzu5tt6/2.jpg?rlkey=bbo59ibfyoshwhczoe0vck05o&raw=1,차키르 두 승려 스투파,ツァキルの二人の僧侶の仏塔,查基尔二僧舍利塔,Ступа двух монахов Цахир
29,1,Байгалийн үзэсгэлэнт газар,Чулуутын гол,Chuluut River,Архангай,Arkhangai,"Тариат, Чулуут, Өндөр-Улаан","Tariat, Chuluut, Undur-Ulaan",48.15943,100.30425,"Чулуут голын урт 415км. Энэ гол Хангайн нурууны хамгийн өндөр хэсгээс эх авдаг учраас унал их, урсгал хурдтай уулын гол юм. ","The Chuluut River is 415 km long. It originates from the highest part of the Khangai Mountains, making it a mountain river with a high gradient and fast flow.",https://www.dropbox.com/scl/fi/xprl0gyzzsnv1bd3w84o4/.jpg?rlkey=2dkksyd504vmwc2a9wy1wkvx0&raw=1,출루트 강,チュルート川,楚鲁特河,Река Чулуут
30,1,Байгалийн үзэсгэлэнт газар,Чулуутын хавцал,Chuluut Canyon,Архангай,Arkhangai,Өндөр-Улаан,Undur-Ulaan,48.13213,100.27831,Чулуут гол нь Тээлийн голын адгаас доош Ацатын горхины адаг хүртэл 100 орчим км газарт 40-60 орчим м гүн хүрмэн чулуун хавцал үүсгэж урсана.,"The Chuluut River flows for about 100 kilometers from the mouth of the Teeli River to the mouth of the Atsat Stream, creating a 40-60 m deep rocky gorge.",https://www.dropbox.com/scl/fi/joyb1bg3wevy1kihv01mr/.jpg?rlkey=j3gwxw8x0rfgl49k31blni2fk&raw=1,출루트 캐년,チュルウト渓谷,楚鲁特峡谷,Чулуутский каньон
