№,Point_type,Category,Name_mon,Name_eng,Aimag_name_mon,Aimag_name_eng,Soum_name_mon,Soum_name_eng,Lat,Long,Description_mon,Description_eng,Photo_URL,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
1,2,Түүхийн дурсгалт газар,Алтан сандал уулын дурсгал,Altan Sandal Grave,Архангай,Arkhangai,Ихтамир,Ikhtamir,47.5403,101.03996,"Ихтамир сумын төвөөс баруун урд зүгт 15 км-т орших Алтан сандал уулаас баруун хойш нэг км зайд жижиг товгор дээр дугуй далантай дугуй хүрээтэй хиргисүүр нэг, дугуй далантай дөрвөлжин хиргисүүр хоёр, жижиш дөрвөлжин булш найм бий. ","Located 15 km southwest of the center of Ikhtamir soum, one km northwest of Altan Sandal Mountain, on a small hillock, there is one circular-framed khirgisur with a circular dam, two square khirgisur with a circular dam, and eight small square tombs.",Nature/100 ламын агуй.jpg,,,,,,,,,
2,2,Түүхийн дурсгалт газар,Билгэ хааны цогцолбор,Bilge Khan Complex,Архангай,Arkhangai,Хашаат,Khashaat,47.56014,102.84117,"Хашаат сумын Цайдам бригадын нутагт Өгий нуураас баруун урагш 36 км, Хархориноос хойш 47 км зайд Хөгшин Орхон голын зүүн эрэг, Цайдам нуурын баруун өмнө оршдог. ","It is located in the Tsaydam brigade area of ​​Khashaat soum, 36 km southwest of Ugii Lake and 47 km north of Kharkhorin, on the east bank of the Old Orkhon River and southwest of Tsaydam Lake.",Nature/108 агуй.jpg,,,,,,,,,
3,1,Байгалийн үзэсгэлэнт газар,Булган уул,Bulgan Mountain,Архангай,Arkhangai,Эрдэнэбулган,Erdenebulgan,47.5116,101.4558,"Байгалийн үзэсгэлэнт байдал, түүхийн дурсгалт зүйлсийг нь хамгаалах зорилгоор 1965 онд улсын тусгай хамгаалалтад авсан. ",It was placed under special state protection in 1965 to protect its natural beauty and historical monuments.,Nature/Aav had.jpg,,,,,,,,,
4,2,Түүхийн дурсгалт газар,Вандан аваргын хөшөө,Vandan Avarga Statue,Архангай,Arkhangai,Батцэнгэл,Battsengel,47.78078,101.9687,"1994 онд бүтээж ,2014 онд сумын 90 жилийн ойн хүрээнд Вандан аваргын нэрэмжит хүндэтгэлийн талбайг байгуулж хөшөөг тэнд шилжүүлэн байршуулжээ.","It was built in 1994, and in 2014, as part of the soum's 90th anniversary, a memorial square was established in the name of Vandan Avarga and the statue was relocated there.",Nature/Aglag.jpg.jpg,,,,,,,,,
5,4,Бусад,Дельфинтэй хөшөө,Delfintei Khushuu,Архангай,Arkhangai,Тариат,Tariat,48.1826,99.78723,Тариат сутын төвөөс баруун хойд зүгт 11 км зайтай оршино.,It is located 11 km northwest of the city center.,Nature/Altai5bogd.jpg.jpg,,,,,,,,,
6,1,Байгалийн үзэсгэлэнт газар,Дуут нуур,Duut Lake,Архангай,Arkhangai,Хайрхан,Khairkhan,48.52532,101.90015,Хайрхан сумын төвөөс урд зүгт 9.5 км зайтай оршино.,It is located 9.5 km south of the center of Khairkhan soum.,Nature/Amarbayasgalant.jpg.jpg,,,,,,,,,
7,2,Түүхийн дурсгалт газар,Культегиний хөшөө,Kultegin Statue,Архангай,Arkhangai,Хашаат,Khashaat,47.56033,102.84072," Анх мэлхий чулуун дээр тамга бүхий нүүрэн талыг наран ургах зүг харуулан босгосон байжээ. Культегин гэдэг нь Түрэг улсын жанжин бөгөөд 684 онд төржээ. 16 настайгаасаа төрийн хэрэгт зүтгэж эхэлсэн ба ухаалаг, авъяаслаг жанжин байсан. Тэрээр 731 онд 47 настай таалал төгсөхөд тахилын онгон цогцолбор, шүтээний сүмийг түүний ах Билгэ хаан 732 онд дүүгийнхээ дурсгалд зориулан босгож ач хүү Йолуг тегин 20 хоног ухаж сийлжээ.","The first stone was erected with the stamped side facing the rising sun. Kultegin was a Turkic general born in 684. He began his career in state affairs at the age of 16 and was a wise and talented general. When he died in 731 at the age of 47, the sacrificial complex and the temple were built in 732 by his brother Bilge Khan in memory of his brother, and his grandson Yolug Tegin spent 20 days digging and carving it.",Nature/Arjanchivlan.jpg.jpg,,,,,,,,,
8,2,Түүхийн дурсгалт газар,Луут хотын туурь,Luut City Ruin,Архангай,Arkhangai,Өлзийт,Ulziit,48.02554,102.50808,Луут хот буюу Лүн Чан -Монголын анхны төрт улс Хүннү гүрний нийслэл хот. Луут хот нь тухайн цаг үедээ хаад язгууртны тансаг зэрэглэлийн зуны нийслэл байжээ. Өлзийт сумын төвөөс баруун урд зүгт 9 км зайтай оршино.,"Luut city or Lun Chan - the capital of the first Mongol state, the Hunnic Empire. Luut city was a luxurious summer capital of the kings and nobles at that time. It is located 9 km southwest of the center of Ulziit soum.",Nature/BayanzagCamp.jpg.jpg,,,,,,,,,
9,1,Байгалийн үзэсгэлэнт газар,Мөст агуй,Must Agui,Архангай,Arkhangai,Тариат,Tariat,48.17204,99.82978,Тариат сутын төвөөс баруун хойд зүгт 5 км зайтай оршино.,It is located 5 km northwest of the center of Tariat.,Nature/Bindelake.jpg.jpg,,,,,,,,,
10,1,Байгалийн үзэсгэлэнт газар,Мэлхий хад,Frog Rock,Архангай,Arkhangai,Тариат,Tariat,48.18113,99.78851,Тариат сутын төвөөс баруун хойд зүгт 11 км зайтай оршино.,It is located 11 km northwest of the city center.,Nature/Burenkhaan.jpg.jpg,,,,,,,,,
